Transport System		Hand Delievered		Powered Rollers		Powered Belt		Locking Powered Belt	
Mechanism	Multiplier	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted	Unweighted	Weighted
Autonomous Operation 	6	1	6	8	48	8	48	10	60
High Positioning Control	10	10	100	7	70	9	90	10	100
Ease of Control 	4	5	20	4	16	6	24	7	28
Ease of Manufacturability	6	10	60	3	18	7	42	5	30
Cost	3	10	30	3	9	7	21	6	18
Totals		216		161		225		236	
Rank		2		4		3		1	
Continue?		N/A		No		Develop		Develop	
